line_item_id;costs;actions;date
37460;589018.1220;369402.0000;20160905
37461;871591.9552;698712.0000;20160905
37463;0.0000;5673.0000;20160905
37464;0.0000;1573548.0000;20160905
37465;0.0000;663072.0000;20160905
37466;0.0000;774.0000;20160905
37467;0.0000;53199.0000;20160905
37468;0.0000;44.0000;20160905
37469;0.0000;74262.0000;20160905
37470;0.0000;78615.0000;20160905
37472;0.0000;258.0000;20160905
37473;0.0000;0.0000;20160905
37474;177068.8200;190698.0000;20160905
37475;84064.0300;69735.0000;20160905
37476;1574480.4900;209304.0000;20160905
37477;0.0000;17352.0000;20160905
37478;3109810.7400;253365.0000;20160905
37479;0.0000;5628.0000;20160905
37480;0.0000;2126.0000;20160905
37481;0.0000;90.0000;20160905
37482;0.0000;35778.0000;20160905
37483;0.0000;8886.0000;20160905
37484;0.0000;0.0000;20160905
37485;0.0000;0.0000;20160905
37486;0.0000;8.0000;20160905
37487;2939.4000;675.0000;20160905
37488;1638.3600;15.0000;20160905
37489;0.0000;1.0000;20160905
37490;0.0000;4173.0000;20160905
37491;43424.2900;18582.0000;20160905
37492;0.0000;48528.0000;20160905
37493;0.0000;933.0000;20160905
37494;7716.4290;102.0000;20160905
37651;0.0000;5548.0000;20160905
37662;0.0000;16384.0000;20160905
-99;0.0000;3743727950.2970;20160906
37447;0.0000;1410.0000;20160906
37448;0.0000;993.0000;20160906
37449;0.0000;159963.0000;20160906
37450;249956.3300;70869.0000;20160906
37451;469012.4100;83082.0000;20160906
37452;3752302.7500;826155.0000;20160906
37455;0.0000;556464.0000;20160906
37456;0.0000;0.0000;20160906
37457;0.0000;1773.0000;20160906
37458;0.0000;6904.0000;20160906
37459;35432.1416;5472.0000;20160906
37460;240962.2068;369402.0000;20160906
37461;216608.6160;698712.0000;20160906
37463;0.0000;5673.0000;20160906
37464;0.0000;1573548.0000;20160906
37465;0.0000;663072.0000;20160906
37466;0.0000;774.0000;20160906
37467;0.0000;17733.0000;20160906
37468;0.0000;66.0000;20160906
37469;0.0000;74262.0000;20160906
37470;0.0000;78615.0000;20160906
37472;0.0000;387.0000;20160906
37473;0.0000;0.0000;20160906
37474;35173.4200;190698.0000;20160906
37475;9075.8600;69735.0000;20160906
37476;1423351.3800;209304.0000;20160906
37477;0.0000;11568.0000;20160906
37478;2898821.7400;253365.0000;20160906
37479;0.0000;5628.0000;20160906
37480;0.0000;2126.0000;20160906
37481;0.0000;90.0000;20160906
37482;0.0000;35778.0000;20160906
37483;0.0000;5924.0000;20160906
37484;0.0000;0.0000;20160906
37485;0.0000;0.0000;20160906
37486;0.0000;8.0000;20160906
37487;5035.3200;675.0000;20160906
37488;0.0000;10.0000;20160906
37489;0.0000;1.0000;20160906
37490;0.0000;4173.0000;20160906
37491;46037.8275;18582.0000;20160906
37492;23505.3000;145584.0000;20160906
37493;0.0000;933.0000;20160906
37494;6697.8114;102.0000;20160906
37651;494.0500;16644.0000;20160906
37662;0.0000;16384.0000;20160906
-99;0.0000;3743727950.2970;20160907
37447;0.0000;1410.0000;20160907
37448;0.0000;993.0000;20160907
37449;0.0000;159963.0000;20160907
37450;287751.1000;70869.0000;20160907
37451;419285.1600;83082.0000;20160907
37452;3423773.7100;826155.0000;20160907
37455;0.0000;556464.0000;20160907
37456;0.0000;0.0000;20160907
37457;0.0000;1182.0000;20160907
37458;0.0000;6904.0000;20160907
37459;37746.6723;5472.0000;20160907
37460;124943.2380;369402.0000;20160907
37461;433217.2320;698712.0000;20160907
37463;0.0000;5673.0000;20160907
37464;0.0000;1573548.0000;20160907
37465;0.0000;663072.0000;20160907
37466;0.0000;774.0000;20160907
37467;0.0000;53199.0000;20160907
37468;0.0000;44.0000;20160907
37469;0.0000;74262.0000;20160907
37470;0.0000;78615.0000;20160907
37472;0.0000;387.0000;20160907
37473;0.0000;0.0000;20160907
37474;18903.9800;190698.0000;20160907
37475;3684.2600;69735.0000;20160907
37476;1593008.6700;209304.0000;20160907
37477;0.0000;11568.0000;20160907
37478;3105465.6200;253365.0000;20160907
37479;0.0000;8442.0000;20160907
37480;0.0000;2126.0000;20160907
37481;0.0000;90.0000;20160907
37482;0.0000;35778.0000;20160907
37483;0.0000;5924.0000;20160907
37484;0.0000;0.0000;20160907
37485;0.0000;0.0000;20160907
37486;0.0000;12.0000;20160907
37487;0.0000;450.0000;20160907
37488;0.0000;10.0000;20160907
37489;0.0000;1.0000;20160907
37490;0.0000;4173.0000;20160907
37491;41539.2110;18582.0000;20160907
37492;52640.7000;145584.0000;20160907
37493;0.0000;933.0000;20160907
37494;0.0000;34.0000;20160907
37651;1486.9700;16644.0000;20160907
37662;0.0000;16384.0000;20160907
-99;0.0000;3743727950.2970;20160908
37447;0.0000;1410.0000;20160908
37448;0.0000;331.0000;20160908
37449;0.0000;159963.0000;20160908
37450;330015.7900;70869.0000;20160908
37451;418947.3900;83082.0000;20160908
37452;11349923.7600;826155.0000;20160908
37455;0.0000;556464.0000;20160908
37456;0.0000;0.0000;20160908
37457;0.0000;1182.0000;20160908
37458;0.0000;6904.0000;20160908
37459;37060.3194;5472.0000;20160908
37460;446225.8500;369402.0000;20160908
37461;887063.8560;698712.0000;20160908
37463;0.0000;5673.0000;20160908
37464;0.0000;1573548.0000;20160908
37465;0.0000;442048.0000;20160908
37466;0.0000;1161.0000;20160908
37467;0.0000;53199.0000;20160908
37468;0.0000;44.0000;20160908
37469;0.0000;74262.0000;20160908
37470;0.0000;78615.0000;20160908
37472;0.0000;258.0000;20160908
37473;0.0000;0.0000;20160908
37474;48115.0200;190698.0000;20160908
37475;14197.8800;69735.0000;20160908
37476;2034643.0500;209304.0000;20160908
37477;0.0000;17352.0000;20160908
37478;3269243.2200;253365.0000;20160908
37479;0.0000;5628.0000;20160908
37480;0.0000;2126.0000;20160908
37481;0.0000;90.0000;20160908
37482;0.0000;35778.0000;20160908
37483;0.0000;5924.0000;20160908
37484;0.0000;0.0000;20160908
37485;0.0000;0.0000;20160908
37486;0.0000;12.0000;20160908
37487;3655.0800;675.0000;20160908
37488;0.0000;10.0000;20160908
37489;0.0000;1.0000;20160908
37490;0.0000;4173.0000;20160908
37491;53584.8075;18582.0000;20160908
37492;96931.8000;145584.0000;20160908
37493;0.0000;933.0000;20160908
37494;0.0000;34.0000;20160908
37651;5504.4400;16644.0000;20160908
37662;0.0000;16384.0000;20160908
-99;0.0000;3743727950.2970;20160909
37447;0.0000;1410.0000;20160909
37448;0.0000;993.0000;20160909
37449;0.0000;159963.0000;20160909
37450;424043.7500;70869.0000;20160909
37451;415757.3400;83082.0000;20160909
37452;12242253.5200;826155.0000;20160909
37455;0.0000;556464.0000;20160909
37456;0.0000;0.0000;20160909
37457;0.0000;1773.0000;20160909
37458;0.0000;6904.0000;20160909
37459;12150.2027;5472.0000;20160909
37460;2070487.9440;369402.0000;20160909
37461;1340910.4800;698712.0000;20160909
37463;0.0000;5673.0000;20160909
37464;0.0000;1573548.0000;20160909
37465;0.0000;442048.0000;20160909
37466;0.0000;774.0000;20160909
37467;0.0000;53199.0000;20160909
37468;0.0000;44.0000;20160909
37469;0.0000;74262.0000;20160909
37470;0.0000;78615.0000;20160909
37472;0.0000;258.0000;20160909
37473;0.0000;0.0000;20160909
37474;46312.4400;190698.0000;20160909
37475;16579.1700;69735.0000;20160909
37476;2666813.4900;209304.0000;20160909
37477;0.0000;17352.0000;20160909
37478;3408871.9800;253365.0000;20160909
37479;0.0000;8442.0000;20160909
37480;0.0000;2126.0000;20160909
37481;0.0000;90.0000;20160909
37482;0.0000;35778.0000;20160909
37483;0.0000;5924.0000;20160909
37484;0.0000;0.0000;20160909
37485;0.0000;0.0000;20160909
37486;0.0000;8.0000;20160909
37487;5699.8800;675.0000;20160909
37488;0.0000;10.0000;20160909
37489;0.0000;1.0000;20160909
37490;0.0000;4173.0000;20160909
37491;16543.3800;18582.0000;20160909
37492;137033.4000;145584.0000;20160909
37493;0.0000;933.0000;20160909
37494;0.0000;34.0000;20160909
37651;10309.9800;16644.0000;20160909
37662;120447.2400;49152.0000;20160909
-99;0.0000;3743727950.2970;20160910
37447;0.0000;1410.0000;20160910
37448;0.0000;993.0000;20160910
37449;0.0000;159963.0000;20160910
37450;297608.8700;70869.0000;20160910
37451;335855.9700;83082.0000;20160910
37452;10911594.8200;826155.0000;20160910
37455;0.0000;556464.0000;20160910
37456;0.0000;0.0000;20160910
37457;0.0000;1182.0000;20160910
37458;0.0000;6904.0000;20160910
37459;0.0000;5472.0000;20160910
37460;615791.9208;369402.0000;20160910
37461;386801.2432;698712.0000;20160910
37463;0.0000;5673.0000;20160910
37464;0.0000;1573548.0000;20160910
37465;0.0000;663072.0000;20160910
37466;0.0000;1161.0000;20160910
37467;0.0000;53199.0000;20160910
37468;0.0000;44.0000;20160910
37469;0.0000;74262.0000;20160910
37470;0.0000;78615.0000;20160910
37472;0.0000;258.0000;20160910
37473;0.0000;0.0000;20160910
37474;31753.1400;190698.0000;20160910
37475;14377.6000;69735.0000;20160910
37476;1965185.4200;209304.0000;20160910
37477;0.0000;11568.0000;20160910
37478;3434692.0200;253365.0000;20160910
37479;0.0000;5628.0000;20160910
37480;0.0000;2126.0000;20160910
37481;0.0000;90.0000;20160910
37482;0.0000;35778.0000;20160910
37483;0.0000;5924.0000;20160910
37484;0.0000;0.0000;20160910
37485;0.0000;0.0000;20160910
37486;0.0000;8.0000;20160910
37487;1942.5600;675.0000;20160910
37488;0.0000;10.0000;20160910
37489;0.0000;1.0000;20160910
37490;0.0000;4173.0000;20160910
37491;0.0000;18582.0000;20160910
37492;70471.8000;145584.0000;20160910
37493;0.0000;933.0000;20160910
37494;0.0000;34.0000;20160910
37651;3892.1500;16644.0000;20160910
37662;207364.0200;49152.0000;20160910
-99;0.0000;3743727950.2970;20160911
37447;0.0000;1410.0000;20160911
37448;0.0000;993.0000;20160911
37449;0.0000;159963.0000;20160911
37450;534474.7200;70869.0000;20160911
37451;339196.1400;83082.0000;20160911
37452;6430888.2400;826155.0000;20160911
37455;0.0000;556464.0000;20160911
37456;0.0000;0.0000;20160911
37457;0.0000;1182.0000;20160911
37458;0.0000;6904.0000;20160911
37459;0.0000;5472.0000;20160911
37460;883527.4308;369402.0000;20160911
37461;675612.7312;698712.0000;20160911
37463;0.0000;5673.0000;20160911
37464;0.0000;1573548.0000;20160911
37465;0.0000;663072.0000;20160911
37466;0.0000;774.0000;20160911
37467;0.0000;53199.0000;20160911
37468;0.0000;44.0000;20160911
37469;0.0000;74262.0000;20160911
37470;0.0000;78615.0000;20160911
37472;0.0000;387.0000;20160911
37473;0.0000;0.0000;20160911
37474;45249.3800;190698.0000;20160911
37475;11951.3800;69735.0000;20160911
37476;2284036.0400;209304.0000;20160911
37477;0.0000;11568.0000;20160911
37478;3378497.9200;253365.0000;20160911
37479;0.0000;5628.0000;20160911
37480;0.0000;2126.0000;20160911
37481;0.0000;90.0000;20160911
37482;0.0000;23852.0000;20160911
37483;0.0000;8886.0000;20160911
37484;0.0000;0.0000;20160911
37485;0.0000;0.0000;20160911
37486;0.0000;8.0000;20160911
37487;7310.1600;675.0000;20160911
37488;0.0000;10.0000;20160911
37489;0.0000;1.0000;20160911
37490;0.0000;4173.0000;20160911
37491;0.0000;12388.0000;20160911
37492;71030.4000;145584.0000;20160911
37493;0.0000;933.0000;20160911
37494;0.0000;34.0000;20160911
37651;4251.2400;16644.0000;20160911
37662;215462.2800;49152.0000;20160911
-99;0.0000;3743727950.2970;20160912
37447;0.0000;1410.0000;20160912
37448;0.0000;993.0000;20160912
37449;0.0000;159963.0000;20160912
37450;455532.7400;70869.0000;20160912
37451;561073.5000;83082.0000;20160912
37452;4007938.2000;826155.0000;20160912
37455;0.0000;556464.0000;20160912
37456;0.0000;0.0000;20160912
37457;0.0000;1182.0000;20160912
37458;0.0000;6904.0000;20160912
37459;0.0000;5472.0000;20160912
37460;339131.6460;369402.0000;20160912
37461;453846.6240;698712.0000;20160912
37463;0.0000;5673.0000;20160912
37464;0.0000;1573548.0000;20160912
37465;0.0000;663072.0000;20160912
37466;0.0000;774.0000;20160912
37467;0.0000;53199.0000;20160912
37468;0.0000;44.0000;20160912
37469;0.0000;74262.0000;20160912
37470;0.0000;78615.0000;20160912
37472;0.0000;258.0000;20160912
37473;0.0000;0.0000;20160912
37474;40719.8200;190698.0000;20160912
37475;20757.6600;69735.0000;20160912
37476;1618496.4400;209304.0000;20160912
37477;0.0000;17352.0000;20160912
37478;1370007.9800;253365.0000;20160912
37479;0.0000;5628.0000;20160912
37480;0.0000;2126.0000;20160912
37481;0.0000;90.0000;20160912
37482;0.0000;35778.0000;20160912
37483;0.0000;8886.0000;20160912
37484;0.0000;0.0000;20160912
37485;0.0000;0.0000;20160912
37486;0.0000;8.0000;20160912
37487;2198.1600;675.0000;20160912
37488;0.0000;5.0000;20160912
37489;0.0000;1.0000;20160912
37490;0.0000;4173.0000;20160912
37491;0.0000;18582.0000;20160912
37492;80262.0000;145584.0000;20160912
37493;0.0000;933.0000;20160912
