"costs";"clicks";"visits";"sql_date";"strategy_id"
0.0000;0;0;"2017-02-25";6317
0.0000;0;0;"2017-02-25";6316
0.0000;0;0;"2017-02-25";6315
0.0000;0;0;"2017-02-25";6314
0.0000;0;0;"2017-02-25";6313
0.0000;0;0;"2017-02-25";6312
0.0000;0;0;"2017-02-25";6311
0.0000;0;0;"2017-02-25";6308
0.0000;0;0;"2017-02-25";5687
0.0000;0;0;"2017-02-25";4307
0.0000;0;0;"2017-02-25";3568
0.0000;0;0;"2017-02-25";3566
0.0000;0;0;"2017-02-25";3565
0.0000;0;0;"2017-02-25";2902
0.0000;0;0;"2017-02-25";2766
0.0000;0;0;"2017-02-25";2763
0.0000;0;0;"2017-02-25";2561
0.0000;0;0;"2017-02-25";2560
0.0000;0;0;"2017-02-25";2559
0.0000;0;0;"2017-02-25";2233
0.0000;0;0;"2017-02-25";2231
0.0000;0;0;"2017-02-25";752
0.0000;0;0;"2017-02-25";751
0.0000;0;0;"2017-02-25";744
0.0000;0;0;"2017-02-25";260
0.0000;0;0;"2017-02-25";210
0.0000;0;0;"2017-02-25";-5
91.4886;0;0;"2017-02-25";-6
0.0000;0;0;"2017-02-25";-7
0.0000;0;0;"2017-02-24";8398
0.0000;0;0;"2017-02-24";8005
0.0000;0;0;"2017-02-24";7487
125.9643;0;0;"2017-02-24";6957
0.0000;0;0;"2017-02-24";6945
0.0000;0;0;"2017-02-24";6944
143.1000;0;0;"2017-02-24";6788
0.0000;0;0;"2017-02-24";6734
424.7971;0;0;"2017-02-24";6718
108.2143;0;0;"2017-02-24";6579
0.0000;0;0;"2017-02-24";6413
0.0000;0;0;"2017-02-24";6412
0.0000;0;0;"2017-02-24";6411
0.0000;0;0;"2017-02-24";6317
0.0000;0;0;"2017-02-24";6316
0.0000;0;0;"2017-02-24";6315
0.0000;0;0;"2017-02-24";6314
0.0000;0;0;"2017-02-24";6313
0.0000;0;0;"2017-02-24";6312
0.0000;0;0;"2017-02-24";6311
0.0000;0;0;"2017-02-24";6308
0.0000;0;0;"2017-02-24";5687
0.0000;0;0;"2017-02-24";4307
0.0000;0;0;"2017-02-24";3568
0.0000;0;0;"2017-02-24";3566
0.0000;0;0;"2017-02-24";3565
0.0000;0;0;"2017-02-24";2902
0.0000;0;0;"2017-02-24";2766
0.0000;0;0;"2017-02-24";2763
0.0000;0;0;"2017-02-24";2561
0.0000;0;0;"2017-02-24";2560
0.0000;0;0;"2017-02-24";2559
0.0000;0;0;"2017-02-24";2233
0.0000;0;0;"2017-02-24";2231
0.0000;0;0;"2017-02-24";752
0.0000;0;0;"2017-02-24";751
0.0000;0;0;"2017-02-24";744
0.0000;0;0;"2017-02-24";260
0.0000;0;0;"2017-02-24";210
0.0000;0;0;"2017-02-24";-5
91.4886;0;0;"2017-02-24";-6
0.0000;0;0;"2017-02-24";-7
0.0000;0;0;"2017-02-23";8398
0.0000;0;0;"2017-02-23";8005
0.0000;0;0;"2017-02-23";7487
125.9643;0;0;"2017-02-23";6957
0.0000;0;0;"2017-02-23";6945
0.0000;0;0;"2017-02-23";6944
143.1000;0;0;"2017-02-23";6788
0.0000;0;0;"2017-02-23";6734
424.7971;0;0;"2017-02-23";6718
108.2143;0;0;"2017-02-23";6579
0.0000;0;0;"2017-02-23";6413
0.0000;0;0;"2017-02-23";6412
0.0000;0;0;"2017-02-23";6411
0.0000;0;0;"2017-02-23";6317
0.0000;0;0;"2017-02-23";6316
0.0000;0;0;"2017-02-23";6315
